"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci","97.5%"
"115","CFSE6","700_28_3","8",673,28,"T90","F","SSID","E","700","28","SE_F",8.178,"symb",42.6870289820186,"673_28",47.4183976462884,-187.290254598068,292.448746346672
"116","CFSE7","2800_31_3","10.5",3309,31,"T90","F","SSID","E","2800","31","SE_F",8.936,"symb",310.554422403173,"3309_31",-73.5022933536467,-327.838639746625,165.210482033447
"117","CFSE8","2800_28_3","10",3285,28,"T90","F","SSID","E","2800","28","SE_F",6.848,"symb",14.0416859581637,"3285_28",-105.192589930206,-338.654699719947,137.88608259995
"118","CFSF11","400_28_3","6",447,28,"T90","F","SSID","F","400","28","SF_F",10.117,"symb",34.6436697499561,"447_28",43.9352282164271,-194.036685677825,289.597696082974
"119","CFSF16","2800_28_3","10",3285,28,"T90","F","SSID","F","2800","28","SF_F",11.373,"symb",15.8651246653078,"3285_28",-105.192589930206,-338.654699719947,137.88608259995
"120","CFSF2","280_28_3","4",288,28,"T90","F","SSID","F","280","28","SF_F",10.837,"symb",19.9148917521934,"288_28",209.573630512832,-16.9614966299977,443.808224041417
"121","CFSF3","400_31_3","6.5",405,31,"T90","F","SSID","F","400","31","SF_F",7.627,"symb",40.3615545167977,"405_31",75.6255247929859,-171.7969816498,313.534169242436
"122","CFSF5","700_31_3","8.5",701,31,"T90","F","SSID","F","700","31","SF_F",9.508,"symb",43.1440718874568,"701_31",79.1086942228472,-145.611908291604,305.157007800328
"123","CFSF6","700_28_3","8",673,28,"T90","F","SSID","F","700","28","SF_F",10.336,"symb",27.8525811849452,"673_28",47.4183976462884,-187.290254598068,292.448746346672
"124","CFSF7","2800_31_3","10.5",3309,31,"T90","F","SSID","F","2800","31","SF_F",11.597,"symb",27.7441279156477,"3309_31",-73.5022933536467,-327.838639746625,165.210482033447
"125","CFTA2","280_28_1","4",288,28,"T90","F","UTEN","A","280","28","TA_F",32.06,"symb",31.665697988803,"288_28",295.707137721936,2.52193670188518,583.656840900578
