"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"146","CNAB12","2800_28_1","3285_28",3285,28,"T90","N","PAST","B","2800","28","AB_N",6.944,"chla",56.82,27.621894364508,-1.62847925277405,58.4028833516104
"147","CNAB13","280_31_1","311_31",311,31,"T90","N","PAST","B","280","31","AB_N",12.161,"chla",253.783,194.634376671549,150.982925356687,238.659069084611
"148","CNAB19","400_28_1","447_28",447,28,"T90","N","PAST","B","400","28","AB_N",6.617,"chla",57.246,70.2539942458958,41.5535043424447,100.806279046187
"149","CNAC1","280_31_2","311_31",311,31,"T90","N","PAST","C","280","31","AC_N",8.864,"chla",164.792,194.634376671549,150.982925356687,238.659069084611
"150","CNAC12","400_28_2","447_28",447,28,"T90","N","PAST","C","400","28","AC_N",6.932,"chla",106,70.2539942458958,41.5535043424447,100.806279046187
"151","CNAC2","280_28_2","288_28",288,28,"T90","N","PAST","C","280","28","AC_N",11.649,"chla",55.548,76.1960491254141,46.6219513337106,106.463130456953
"152","CNAC3","400_31_2","405_31",405,31,"T90","N","PAST","C","400","31","AC_N",8.534,"chla",42.739,42.0601394701625,0.4302269625571,80.7172839721205
"153","CNAC5","700_31_2","701_31",701,31,"T90","N","PAST","C","700","31","AC_N",9.56,"chla",94.65,95.1219959008029,59.5311185814094,128.711774911065
"154","CNAC6","700_28_2","673_28",673,28,"T90","N","PAST","C","700","28","AC_N",10.235,"chla",14.221,33.7607325446208,0.409711763616436,68.3703365704616
"155","CNAC8","2800_28_2","3285_28",3285,28,"T90","N","PAST","C","2800","28","AC_N",10.829,"chla",27.853,27.621894364508,-1.62847925277405,58.4028833516104
"156","CNAD10","280_28_2","288_28",288,28,"T90","N","PAST","D","280","28","AD_N",11.882,"chla",51.358,76.1960491254141,46.6219513337106,106.463130456953
"157","CNAD3","400_31_2","405_31",405,31,"T90","N","PAST","D","400","31","AD_N",12.839,"chla",27.453,42.0601394701625,0.4302269625571,80.7172839721205
"158","CNAD5","700_31_2","701_31",701,31,"T90","N","PAST","D","700","31","AD_N",12.119,"chla",143.251,95.1219959008029,59.5311185814094,128.711774911065
"159","CNAD6","700_28_2","673_28",673,28,"T90","N","PAST","D","700","28","AD_N",11.062,"chla",26.633,33.7607325446208,0.409711763616436,68.3703365704616
"160","CNAD7","2800_31_2","3309_31",3309,31,"T90","N","PAST","D","2800","31","AD_N",12.793,"chla",27.416,23.0858754968258,-28.7945479060483,73.3826379165671
"161","CNAD8","2800_28_2","3285_28",3285,28,"T90","N","PAST","D","2800","28","AD_N",9.482,"chla",32.18,27.621894364508,-1.62847925277405,58.4028833516104
"162","CNAD9","400_28_2","447_28",447,28,"T90","N","PAST","D","400","28","AD_N",12.847,"chla",8.845,70.2539942458958,41.5535043424447,100.806279046187
"163","CNAE11","400_28_3","447_28",447,28,"T90","N","PAST","E","400","28","AE_N",9.245,"chla",65.248,70.2539942458958,41.5535043424447,100.806279046187
"164","CNAE2","280_28_3","288_28",288,28,"T90","N","PAST","E","280","28","AE_N",8.297,"chla",145.836,76.1960491254141,46.6219513337106,106.463130456953
"165","CNAE5","700_31_3","701_31",701,31,"T90","N","PAST","E","700","31","AE_N",9.883,"chla",120.838,95.1219959008029,59.5311185814094,128.711774911065
"166","CNAE6","700_28_3","673_28",673,28,"T90","N","PAST","E","700","28","AE_N",9.108,"chla",76.818,33.7607325446208,0.409711763616436,68.3703365704616
"167","CNAE7","2800_31_3","3309_31",3309,31,"T90","N","PAST","E","2800","31","AE_N",7.256,"chla",39.875,23.0858754968258,-28.7945479060483,73.3826379165671
"168","CNAE8","2800_28_3","3285_28",3285,28,"T90","N","PAST","E","2800","28","AE_N",7.201,"chla",24.352,27.621894364508,-1.62847925277405,58.4028833516104
"169","CNAF1","280_31_3","311_31",311,31,"T90","N","PAST","F","280","31","AF_N",13.161,"chla",201.193,194.634376671549,150.982925356687,238.659069084611
"170","CNAF10","400_28_3","447_28",447,28,"T90","N","PAST","F","400","28","AF_N",7.282,"chla",92.958,70.2539942458958,41.5535043424447,100.806279046187
