"","X","coral","tank","temp2","treat","pCO2","temp","pco2","species","colony","reefzone","SA","le","tp","rate","fpco2","ftemp","mean","lowerci","upperci"
"107",1518,"CFAB11","700_28_1",28,"700_28",707.6,28,"eoc","A","AB_F","F",10.074,0.003,"total",-0.179,700,"28",-0.195555332260729,-0.438396984189833,0.050082607039018
"108",1522,"CFAB5","700_31_1",30.9,"700_31",666.85,31,"eoc","A","AB_F","F",11.136,0.003,"total",-0.553,700,"31",-0.0390022360012854,-0.280397737474123,0.218878059236842
"109",1528,"CFAC3","400_31_2",31.1,"400_31",447.02,31,"cur","A","AC_F","F",10.757,0.003,"total",0.104,400,"31",0.166369015627997,-0.0730065105477148,0.418964697312486
"110",1532,"CFAC8","2800_28_2",28.1,"2800_28",3336.47,28,"ext","A","AC_F","F",9.302,0.003,"total",0.079,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
"111",1537,"CFAD5","700_31_2",30.9,"700_31",677.35,31,"eoc","A","AD_F","F",9.903,0.003,"total",0.274,700,"31",-0.0390022360012854,-0.280397737474123,0.218878059236842
"112",1546,"CFAE8","2800_28_3",28.1,"2800_28",3219.84,28,"ext","A","AE_F","F",11.355,0.003,"total",-0.745,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
"113",1549,"CFAF3","400_31_3",31.1,"400_31",459.07,31,"cur","A","AF_F","F",10.534,0.003,"total",-0.287,400,"31",0.166369015627997,-0.0730065105477148,0.418964697312486
"114",1630,"CFSA6","700_28_1",28,"700_28",707.6,28,"eoc","S","SA_F","F",9.068,0.003,"total",0.414,700,"28",1.08440509092045,0.874855686099283,1.30216064211104
"115",1636,"CFSB3","2800_28_1",28.1,"2800_28",3369.78,28,"ext","S","SB_F","F",9.702,0.003,"total",-0.271,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
"116",1696,"CNAA14","700_28_1",28,"700_28",707.6,28,"eoc","A","AA_N","N",12.178,0.003,"total",-0.43,700,"28",-0.195555332260729,-0.438396984189833,0.050082607039018
"117",1699,"CNAA5","700_31_1",30.9,"700_31",666.85,31,"eoc","A","AA_N","N",10.874,0.003,"total",0.04,700,"31",-0.0390022360012854,-0.280397737474123,0.218878059236842
